id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order
507149	6273	6279	Wife's Story	Louise Chandler Moulton	MAG	1861	Passive	NA	NA	NA	NA
567665	4488	4509	Motley's United Netherlands	Rev. John Moore	MAG	1861	Passive	Pronoun	Noun	NoTo	DatAcc
527962	8714	8730	One of my Clients		MAG	1862	Passive	Pronoun	Noun	NoTo	DatAcc
567930	2158	2189	Adjutant Stearns	"Rev. W. I. Budington, D.D."	MAG	1862	Passive	Pronoun	Noun	NoTo	DatAcc
747506	37111	37146	Money	Charles Moran	NF	1863	Passive	NA	NA	NA	NA
557790	2209	2236	The Next General Election		MAG	1864	Passive	NA	NA	NA	NA
771252	55090	55140	A Report of the Debates and Proceedings in the Secret Sessions of the Conference Convention For P	"Chittenden, L. E. (Lucius Eugene), 1824-1900"	NF	1864	Passive	Pronoun	Pronoun	To	AccDat
771252	65462	65471	A Report of the Debates and Proceedings in the Secret Sessions of the Conference Convention For P	"Chittenden, L. E. (Lucius Eugene), 1824-1900"	NF	1864	Passive	NA	NA	NA	NA
529016	2617	2643	Katharine Morne.  I	The author of 'Herman'	MAG	1866	Passive	NA	NA	NA	NA
558047	2352	2371	Sherman and his Campaigns		MAG	1866	Passive	NA	NA	NA	NA
760515	5134	5152	"Beethoven's Letters 1790-1826, Volume 1"	"Nohl, Ludwig, 1831-1885"	NF	1866	Passive	NA	NA	NA	NA
760515	44150	44167	"Beethoven's Letters 1790-1826, Volume 1"	"Nohl, Ludwig, 1831-1885"	NF	1866	Passive	Pronoun	Noun	NoTo	DatAcc
827	10613	10641	Washington Irving		FIC	1866	Passive	Noun	Pronoun	To	AccDat
747642	969	993	The people the sovereigns	James Monroe	NF	1867	Passive	NA	NA	NA	NA
9070	54988	55035	"The Sayings of Dr. Bushwhacker, and Other Learned Men"		FIC	1867	Passive	NA	NA	NA	NA
753012	6258	6283	"History of the United Netherlands, 1588d"	"Motley, John Lothrop, 1814-1877"	NF	1868	Passive	NA	NA	NA	NA
1427	46159	46168	"Ragged Dick, Or, Street Life in New York with the Boot-Blacks"		FIC	1868	Passive	Pronoun	Noun	NoTo	DatAcc
748070	64744	64772	"The past, the present, and the future"	Henry Charles Carey	NF	1869	Passive	NA	NA	NA	NA
501580	7122	7190	American Women and English Women	Justin McCarthy	MAG	1870	Passive	Pronoun	Noun	NoTo	DatAcc
537610	8239	8252	Jeremiah S. Black and Edwin M. Stanton	Henry Wilson	MAG	1870	Passive	Pronoun	Noun	NoTo	DatAcc
247	33633	33645	"Paul the Peddler, or the Fortunes of a Young Street Merchant"		FIC	1871	Passive	Pronoun	Noun	NoTo	DatAcc
9198	3504	3552	"Saratoga in 1901. By Eli Perkins (pseud). Fun, Love, Society & Satire"		FIC	1872	Passive	Pronoun	Noun	NoTo	DatAcc
3461	72212	72276	Isabel Leicester  A Romance by Maude Alma	"Alma, Maude, -1895"	FIC	1874	Passive	Pronoun	Pronoun	NoTo	DatAcc
502902	2836	2851	Through Utah	John Codman	MAG	1875	Passive	Pronoun	Noun	NoTo	DatAcc
561208	9411	9435	Neighborhoods of Jerusalem	Charles Dudley Warner	MAG	1876	Passive	NA	NA	NA	NA
748635	50681	50694	What is Property?	"Proudhon, P.-J. (Pierre-Joseph), 1809-1865"	NF	1876	Passive	NA	NA	NA	NA
503283	7509	7588	The Dramatic Canons	Frederick Whittaker	MAG	1877	Passive	NA	NA	NA	NA
582716	148	159	Smethurstses	Frances Hodgson Burnett	MAG	1877	Passive	Pronoun	Noun	NoTo	DatAcc
101	25492	25515	Tales from Two Hemispheres		FIC	1877	Passive	Pronoun	Noun	NoTo	DatAcc
1912	39227	39243	The Minister's Charge		FIC	1877	Passive	Pronoun	Pronoun	NoTo	AccDat
7710	23388	23424	"[Poems, in] A masque of poets"		FIC	1878	Passive	NA	NA	NA	NA
9725	22519	22537	Little Miss Million		FIC	1879	Passive	Pronoun	Pronoun	NoTo	AccDat
743156	1026	1049	A TALK WITH MR. TILDEN; SOMETHING MORE ABOUT THAT RAILWAY STOCK. HOW IT WENT BEGGING BEFORE AND AFTER MR. FIELD BOUGHT IT--MR. TILDEN HAD THE FIRST CH		NEWS	1879	Passive	Pronoun	Pronoun	To	AccDat
571692	3444	3516	Washington Irving	Charles Dudley Warner	MAG	1880	Passive	Noun	Pronoun	To	AccDat
1761	151	168	Poems of the Heart and Home	"Yule, J. C."	FIC	1881	Passive	NA	NA	NA	NA
577948	350	390	Progress in Agriculture by Education and Government Aid	Eugene W. Hilgard	MAG	1882	Passive	NA	NA	NA	NA
577962	7069	7100	Studies in the South		MAG	1882	Passive	Pronoun	Pronoun	To	AccDat
593514	6689	6702	Ningpo and the Buddhist Temples	Constance F. Gordon Cumming	MAG	1882	Passive	Pronoun	Noun	NoTo	DatAcc
780621	359	378	BONDS AT THREE PER CENT.; MR. WINDOM SPEAKS AGAINST THE SHERMAN BILL. FIVE-YEAR BONDS DECLARED TO BE UNSALABLE--WHY THE CONTINUED BONDS ARE BETTER--SE		NEWS	1882	Passive	NA	NA	NA	NA
4213	116684	116697	Floyd Grandon's Honor		FIC	1883	Passive	Noun	Pronoun	To	AccDat
