Verb	id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order	IOAnim	DOAnim	IODef	DODef	LengthDiff	IONum	DONum
offer	563996	1271	1295	Music		MAG	1831	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-1	Singular	Singular
offer	622	193004	193027	The Pioneers		FIC	1845	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	-3	Plural	Singular
offer	747487	28309	28329	Lectures on school-keeping	Samuel Read Hall	NF	1830	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	-2	Singular	Singular
offer	747960	73966	73982	On the extent of the Atonement in its relation to God and the universe	Thomas W. Jenkyn	NF	1837	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	3	Singular	Singular
offer	554993	10783	10810	Classical Studies at Cambridge		MAG	1842	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Definite	4	Plural	Singular
offer	747994	53724	53782	"Psychology; Or, A View of the Human Soul, Including Anthropology, Adapted for the Use of Colleges"	Friedriech August Rauch	NF	1841	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Definite	1	Singular	Singular
offer	9188	57730	57766	"The Sunny South; or, The Southerner at Home Embracing Five Years' Experience of a Northern Governess in the Land of the Sugar and the Cotton"		FIC	1860	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	1	Singular	Plural
offer	553423	6884	6936	The Life of Pitt		MAG	1822	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	0	Singular	Plural
offer	747950	43816	43849	Life and writings of Ebenezer Porter Mason; interspersed with hints to parents and instructors on the training and education of a child of genius 	Denison Olmsted	NF	1842	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	-1	Singular	Singular
offer	754867	22711	22745	Army Life in a Black Regiment	"Higginson, Thomas Wentworth, 1823-1911"	NF	1870	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	0	Singular	Singular
offer	7177	99352	99381	"Swallow Barn; or, A Sojourn in the Old Dominion, Volume 2"		FIC	1832	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	12	Singular	Singular
offer	553343	7091	7105	Warden on America		MAG	1821	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	0	Plural	Singular
offer	747853	14498	14538	"An Inquiry Into the Foundation, Evidences, and Truths of Religion"	Henry Ware	NF	1842	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	1	Plural	Singular
offer	554151	1704	1747	Audobon's Biography of Birds		MAG	1832	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Indefinite	Indefinite	1	Singular	Plural
offer	9759	40149	40188	The Novels . . 		FIC	1827	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	-3	Singular	Plural
offer	565338	13001	13053	Romanists and the Roman Catholic Controversy		MAG	1844	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	3	Plural	Singular
offer	524570	8641	8676	Mr. Slidell's Mission to Mexico	D. D. B.	MAG	1847	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	2	Singular	Singular
offer	554993	10486	10538	Classical Studies at Cambridge		MAG	1842	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Definite	0	Singular	Singular
offer	533544	4773	4812	The Gods of Wo Lee	Sidney Andrews	MAG	1870	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	2	Plural	Plural
offer	558071	376	390	The Mexican Question		MAG	1866	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	5	Singular	Singular
offer	7002	81720	81786	Tales of the Puritans. The Regicides - The Fair Pilgrim - Castine		FIC	1831	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	-11	Singular	Singular
offer	7276	54275	54306	The Poor Rich Man and the Rich Poor Man		FIC	1836	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	1	Singular	Singular
offer	557951	9972	10018	John C. Calhoun		MAG	1865	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	0	Singular	Singular
offer	749455	52494	52544	History of the Conquest of Peru	"Prescott, William Hickling, 1796-1859"	NF	1847	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	0	Plural	Singular
offer	755017	61471	61494	The History of the Reign of Ferdinand and Isabella the Catholic -- Volume 1	"Prescott, William Hickling, 1796-1859"	NF	1864	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	-1	Singular	Singular
offer	555518	12026	12048	The Life and Opinions of Sismondi		MAG	1848	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	6	Singular	Singular
offer	747603	17984	18075	Remarks on Changes Lately Proposed Or Adopted in Harvard University 	George Ticknor	NF	1825	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Definite	4	Singular	Singular
offer	554167	688	727	Habits of Insects		MAG	1832	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Definite	7	Singular	Plural
offer	7350	20632	20683	"The Partisan Leader: A Tale of the Future. By Edward William Sidney [pseud], Volume 1"		FIC	1836	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	1	Singular	Singular
offer	8085	10066	10116	Ximena		FIC	1844	Passive	Noun	Noun	NoTo	DatAcc	Inanimate	Inanimate	Definite	Indefinite	-2	Plural	Singular
offer	747473	43346	43359	"A discourse on the genius and character of the Rev. Horace Holley, LL. D., "	Charles Caldwell	NF	1828	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	0	Singular	Singular
offer	7277	20825	20865	"Redwood: A Tale, Volume 1"		FIC	1824	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	-1	Singular	Singular
offer	747536	26128	26150	"A concise exposition of the doctrine of association, or Plan for a re-organization of society : which will secure to the human race, individually and "	Albert Brisbane	NF	1843	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	-1	Plural	Singular
offer	7327	93207	93237	"Clinton Bradshaw; or, The Adventures of a Lawyer, Volume 1"		FIC	1835	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Indefinite	Indefinite	13	Singular	Singular
offer	8533	1081	1119	Semiramis		FIC	1845	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	1	Singular	Plural
offer	527986	7497	7546	Recollections of a Gifted Woman	Nathaniel Hawthorne	MAG	1863	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	0	Singular	Singular
offer	755525	4298	4337	Memoirs of General Lafayette : with an Account of His Visit to America and His Reception By the Peop	"Knapp, Samuel L. (Samuel Lorenzo), 1783-1838"	NF	1837	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Definite	-2	Plural	Singular
offer	555103	5588	5616	Works of Alexandre Dumas		MAG	1843	Passive	Noun	Noun	To	AccDat	Inanimate	Inanimate	Definite	Indefinite	3	Singular	Plural
offer	7040	54795	54817	Philothea		FIC	1836	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	1	Singular	Singular
offer	7024	37025	37071	"The Adventures of Harry Franco, volume 2"		FIC	1839	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Indefinite	Indefinite	2	Singular	Singular
offer	7084	63059	63081	"Bonfield; or, The Outlaw of the Bermudas. A Nautical Novel . . "		FIC	1846	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Indefinite	1	Singular	Plural
offer	7084	63042	63058	"Bonfield; or, The Outlaw of the Bermudas. A Nautical Novel . . "		FIC	1846	Passive	Noun	Noun	NoTo	DatAcc	Animate	Inanimate	Definite	Definite	1	Singular	Singular
offer	772692	16460	16470	Thoughts on Missions	"Dibble, Sheldon, 1809-1845"	NF	1844	Passive	Noun	Noun	To	AccDat	Animate	Inanimate	Definite	Indefinite	0	Singular	Singular
