old_id	id	startnum	endnum	textname	author	genre	year	Voice	IO	DO	To	Order
30925	751990	58156	58175	The Days Before Yesterday	"Hamilton, Frederick Spencer, Lord, 1856-1928"	NF	1920	Active	Pronoun	Pronoun	NoTo	AccDat
57380	53949	1412	1418	Great works of western literature	"Bourne, Mark"	FIC	1994	Active	Noun	Pronoun	To	AccDat
31032	751773	102343	102355	Jailed for Freedom	"Stevens, Doris, 1892-1963"	NF	1920	Active	Noun	Pronoun	To	AccDat
43804	491380	3575	3592	I Know Why They Sold Out to the Gamblers	"Bee, Clair<SUP>1</SUP>"	MAG	1952	Active	Pronoun	Pronoun	To	AccDat
39993	23437	4034	4092	The green-eyed cat	Marjorie Muir Worthington	FIC	1942	Active	Noun	Pronoun	To	AccDat
39995	23448	8396	8407	The enemy	Pearl S. (Pearl Sydenstricker) Buck	FIC	1942	Active	Pronoun	Pronoun	To	AccDat
41510	16128	19639	19650	"Strange Love Of Martha Ivers, The"	"Goggan, John Patrick, 1903-1995"	FIC	1946	Active	Noun	Pronoun	To	AccDat
41513	16685	28867	28879	From This Day Forward		FIC	1946	Active	Pronoun	Pronoun	To	AccDat
41517	16685	662	668	From This Day Forward		FIC	1946	Active	Pronoun	Pronoun	To	AccDat
41518	16685	3087	3096	From This Day Forward		FIC	1946	Active	Noun	Pronoun	To	AccDat
41519	16685	22746	22765	From This Day Forward		FIC	1946	Active	Noun	Pronoun	To	AccDat
37675	14009	23845	23869	End of Summer	"Behrman, Samuel Nathaniel, 1893-1973"	FIC	1936	Active	Pronoun	Pronoun	NoTo	AccDat
44948	781963	3874	3902	The Quicksilver Pool	Phyllis A. Whitney	FIC	1955	Active	Pronoun	Pronoun	To	AccDat
43346	23616	4910	4939	Monte Saint Angelo: 	Arthur Miller	FIC	1951	Active	Pronoun	Pronoun	To	AccDat
46972	477779	1971	1977	Manuel in the Thieves' Market		MAG	1961	Active	Pronoun	Pronoun	To	AccDat
46971	477726	3144	3190	The tyranny of multiple-choice tests	Banesh Hoffmann	MAG	1961	Active	Noun	Pronoun	To	AccDat
49703	10510	7706	7744	"Chosen Place, The Timeless People"		FIC	1969	Active	Pronoun	Pronoun	To	AccDat
48255	10455	60012	60039	An American Dream		FIC	1965	Active	Pronoun	Pronoun	To	AccDat
54068	780034	11656	11666	Master of the Game	Sidney Sheldon	FIC	1982	Active	Noun	Pronoun	To	AccDat
29509	466517	4255	4283	The tyranny of the congregation		MAG	1916	Active	Pronoun	Pronoun	To	AccDat
59253	368508	263	287	Vouchers: More Heat Than Light	REBECCA WINTERS	MAG	2000	Active	Noun	Pronoun	To	AccDat
32553	4166	8809	8820	One Man's Initiation—1917	"Dos Passos, John, 1896-1970"	FIC	1922	Active	Pronoun	Pronoun	To	AccDat
32087	3784	2893	2907	The Black Wolf Pack		FIC	1922	Active	Pronoun	Pronoun	To	AccDat
32083	2327	45143	45158	Betty Gordon at Mountain Camp		FIC	1922	Active	Pronoun	Pronoun	To	AccDat
52056	107265	2246	2279	IT WAS MADNESS AT MEDINAH		MAG	1975	Active	Pronoun	Pronoun	To	AccDat
36701	431085	2717	2732	Every Baby Needs a Mother	Genevieve Parkhurst	MAG	1934	Active	Pronoun	Pronoun	To	AccDat
44041	780022	52107	52114	Landfall	Helen Hull	FIC	1953	Active	Noun	Pronoun	To	AccDat
52293	10610	91583	91610	Ratner's Star		FIC	1976	Active	Pronoun	Pronoun	To	AccDat
52299	10618	4779	4786	Ripoff		FIC	1976	Active	Noun	Pronoun	To	AccDat
10440	96	54726	54746	Paul Prescott's Charge		FIC	1865	Active	Pronoun	Pronoun	To	AccDat
