"","Text","Lat","Long","Location","Dialect","Genre","YoC","YoM","AuthName","AuthBD","AuthSex","AuthAge","RecName","RecBD","RecSex","RecAge","RecRelation","Words","OCWords","NamWords","ForWords","Types","OCTypes","NamTypes","ForTypes","Chars","OCChars","NamChars","ForChars","Tokens","pseud","pass","act","relative","questions","selected","advantage"
"484177","CHAMBER_014","x","x","x","x","L",1606,1606,"John_Chamberlain","1554","m","52","Ralph_Winwood","1563","m","43","x",1891,456,84,15,639,342,58,15,12481,2817,588,110,53,"b","nan","act","nie","qnie","selact","not"
"484277","CHAMBER_015","x","x","x","x","l",1606,1606,"John_Chamberlain","1554","m","52","Dudley_Carleton","1573","m","33","FRIEND",737,185,45,0,330,156,37,0,6176,1024,273,0,33,"b","nan","act","nie","qnie","selact","not"
"484318","CHAMBER_016","x","x","x","x","l",1608,1608,"John_Chamberlain","1554","m","54","Dudley_Carleton","1573","m","35","FRIEND",862,213,58,7,362,183,48,6,7633,1158,382,26,43,"b","nan","act","nie","qnie","selact","not"
"484439","CHAMBER_017","x","x","x","x","l",1608,1608,"John_Chamberlain","1554","m","54","Dudley_Carleton","1573","m","35","FRIEND",746,162,44,0,304,133,41,0,6460,922,304,0,36,"b","nan","act","nie","qnie","selact","not"
"484627","CHAMBER_019","x","x","x","x","L",1610,1610,"John_Chamberlain","1554","m","56","Ralph_Winwood","1563","m","47","x",1045,266,48,13,435,214,43,11,8183,1555,316,67,45,"b","nan","act","nie","qnie","selact","not"
"485155","CHAMBER_024","x","x","x","x","l",1612,1612,"John_Chamberlain","1554","m","58","Dudley_Carleton","1573","m","39","FRIEND",1216,307,65,15,467,244,48,15,9407,1799,374,77,45,"p","van","nan","nie","qnie","selpse","not"
"485518","CHAMBER_026","x","x","x","x","L",1612,1612,"John_Chamberlain","1554","m","58","Ralph_Winwood","1563","m","49","x",1694,405,96,19,592,308,73,18,12976,2391,582,94,72,"b","nan","act","nie","qnie","selact","not"
"485550","CHAMBER_026","x","x","x","x","L",1612,1612,"John_Chamberlain","1554","m","58","Ralph_Winwood","1563","m","49","x",1694,405,96,19,592,308,73,18,12976,2391,582,94,72,"p","van","nan","nie","qnie","selpse","not"
"485804","CHAMBER_028","x","x","x","x","L",1613,1613,"John_Chamberlain","1554","m","59","Ralph_Winwood","1563","m","50","x",1778,489,94,8,635,355,75,8,12261,2918,561,54,58,"p","van","nan","nie","qnie","selpse","not"
"486880","CHAMBER_033","x","x","x","x","L",1613,1613,"John_Chamberlain","1554","m","59","Ralph_Winwood","1563","m","50","x",1395,369,62,5,513,256,55,5,9719,2169,419,27,45,"b","nan","act","nie","qnie","selact","not"
"486931","CHAMBER_034","x","x","x","x","L",1613,1613,"John_Chamberlain","1554","m","59","Ralph_Winwood","1563","m","50","x",1104,280,58,4,461,225,49,4,7545,1630,389,14,35,"p","van","nan","nie","qnie","selpse","not"
"487125","CHAMBER_035","x","x","x","x","L",1613,1613,"John_Chamberlain","1554","m","59","Ralph_Winwood","1563","m","50","x",2486,653,120,4,764,444,86,4,18115,3771,713,23,96,"b","nan","act","nie","qnie","selact","not"
"487340","CHAMBER_036","x","x","x","x","l",1613,1613,"John_Chamberlain","1554","m","59","Dudley_Carleton","1573","m","40","FRIEND",1199,289,70,9,465,234,57,9,10038,1759,440,39,52,"b","nan","act","nie","qnie","selact","not"
"487358","CHAMBER_036","x","x","x","x","l",1613,1613,"John_Chamberlain","1554","m","59","Dudley_Carleton","1573","m","40","FRIEND",1199,289,70,9,465,234,57,9,10038,1759,440,39,52,"p","van","nan","nie","qnie","selpse","not"
"487438","CHAMBER_036","x","x","x","x","l",1613,1613,"John_Chamberlain","1554","m","59","Dudley_Carleton","1573","m","40","FRIEND",1199,289,70,9,465,234,57,9,10038,1759,440,39,52,"p","van","nan","nie","qnie","selpse","not"
"487483","CHAMBER_037","x","x","x","x","L",1613,1613,"John_Chamberlain","1554","m","59","Ralph_Winwood","1563","m","50","x",1014,241,70,8,429,201,59,8,7604,1446,420,45,40,"b","nan","act","pie","qnie","selact","not"
"487552","CHAMBER_037","x","x","x","x","L",1613,1613,"John_Chamberlain","1554","m","59","Ralph_Winwood","1563","m","50","x",1014,241,70,8,429,201,59,8,7604,1446,420,45,40,"p","van","nan","nie","qnie","selpse","not"
"487599","CHAMBER_038","x","x","x","x","L",1613,1613,"John_Chamberlain","1554","m","59","Ralph_Winwood","1563","m","50","x",1346,338,60,14,495,249,53,14,9634,1959,359,78,49,"b","nan","act","nie","qnie","selact","not"
"487741","CHAMBER_038","x","x","x","x","L",1613,1613,"John_Chamberlain","1554","m","59","Ralph_Winwood","1563","m","50","x",1346,338,60,14,495,249,53,14,9634,1959,359,78,49,"b","nan","act","nie","qnie","selact","not"
"487770","CHAMBER_039","x","x","x","x","L",1613,1613,"John_Chamberlain","1554","m","59","Alice_Carleton","_","f","_","x",1080,298,77,0,397,202,59,0,8890,1751,476,0,53,"p","van","nan","nie","qnie","selpse","not"
"487934","CHAMBER_040","x","x","x","x","l",1614,1614,"John_Chamberlain","1554","m","60","Dudley_Carleton","1573","m","41","FRIEND",1516,380,61,13,557,289,53,13,12120,2242,381,69,61,"b","nan","act","nie","qnie","selact","not"
"488398","CHAMBER_044","x","x","x","x","L",1614,1614,"John_Chamberlain","1554","m","60","Alice_Carleton","_","f","_","x",1049,224,71,0,357,174,52,0,9027,1250,485,0,59,"p","van","nan","nie","qnie","selpse","not"
"488739","CHAMBER_047","x","x","x","x","L",1615,1615,"John_Chamberlain","1554","m","61","Alice_Carleton","_","f","_","x",1047,264,63,0,389,199,52,0,8288,1452,408,0,50,"b","nan","act","nie","qnie","selact","not"
"489324","CHAMBER_051","x","x","x","x","l",1616,1616,"John_Chamberlain","1554","m","62","Dudley_Carleton","1573","m","43","FRIEND",1243,297,72,19,469,225,59,19,10474,1737,471,102,55,"b","nan","act","nie","qnie","selact","not"
"489365","CHAMBER_051","x","x","x","x","l",1616,1616,"John_Chamberlain","1554","m","62","Dudley_Carleton","1573","m","43","FRIEND",1243,297,72,19,469,225,59,19,10474,1737,471,102,55,"b","nan","act","nie","qnie","selact","not"
"489571","CHAMBER_053","x","x","x","x","l",1617,1617,"John_Chamberlain","1554","m","63","Dudley_Carleton","1573","m","44","FRIEND",2003,510,111,0,638,348,89,0,16720,2973,685,0,88,"b","nan","act","nie","qnie","selact","not"
"489683","CHAMBER_053","x","x","x","x","l",1617,1617,"John_Chamberlain","1554","m","63","Dudley_Carleton","1573","m","44","FRIEND",2003,510,111,0,638,348,89,0,16720,2973,685,0,88,"p","van","nan","nie","qnie","selpse","not"
"490183","CHAMBER_057","x","x","x","x","l",1619,1619,"John_Chamberlain","1554","m","65","Dudley_Carleton","1573","m","46","FRIEND",1604,430,84,3,559,314,58,3,12454,2512,503,8,61,"p","van","nan","nie","qnie","selpse","not"
"490225","CHAMBER_057","x","x","x","x","l",1619,1619,"John_Chamberlain","1554","m","65","Dudley_Carleton","1573","m","46","FRIEND",1604,430,84,3,559,314,58,3,12454,2512,503,8,61,"b","nan","act","nie","qnie","selact","not"
"490269","CHAMBER_057","x","x","x","x","l",1619,1619,"John_Chamberlain","1554","m","65","Dudley_Carleton","1573","m","46","FRIEND",1604,430,84,3,559,314,58,3,12454,2512,503,8,61,"p","van","nan","nie","qnie","selpse","not"
