"","Text","Lat","Long","Location","Dialect","Genre","YoC","YoM","AuthName","AuthBD","AuthSex","AuthAge","RecName","RecBD","RecSex","RecAge","RecRelation","Words","OCWords","NamWords","ForWords","Types","OCTypes","NamTypes","ForTypes","Chars","OCChars","NamChars","ForChars","Tokens","pseud","pass","act","relative","questions","selected","advantage"
"4287","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"7203","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"8454","CHAU-SQT","x","x","x","x","Q",1390,1390,"Geoffry_Chaucer","1343","m","47","x","xxxx","x","xx","x",3503,1123,55,0,999,656,39,0,13656,5934,368,0,199,"b","nan","act","nie","qnie","selact","not"
"8466","CHAU-SQT","x","x","x","x","Q",1390,1390,"Geoffry_Chaucer","1343","m","47","x","xxxx","x","xx","x",3503,1123,55,0,999,656,39,0,13656,5934,368,0,199,"b","nan","act","nie","qnie","selact","not"
"8467","CHAU-SQT","x","x","x","x","Q",1390,1390,"Geoffry_Chaucer","1343","m","47","x","xxxx","x","xx","x",3503,1123,55,0,999,656,39,0,13656,5934,368,0,199,"b","nan","act","nie","qnie","selact","not"
"8704","CHAU-SQT","x","x","x","x","Q",1390,1390,"Geoffry_Chaucer","1343","m","47","x","xxxx","x","xx","x",3503,1123,55,0,999,656,39,0,13656,5934,368,0,199,"b","nan","act","nie","qnie","selact","not"
"10043","IOSEIACO","51.202409","-2.460938","","S","Q",1260,1280,"x","xxxx","x","xx","x","xxxx","x","xx","x",5847,1776,222,0,2065,694,35,0,29045,8862,1229,0,482,"b","nan","act","nie","qnie","selact","not"
"12048","CMAELR3","52.34373","-2.05719","Worcester/Birmingham_halfway_point","WM","U",1400,1400,"x","xxxx","m","xx","x","xxxx","x","xx","x",17718,5045,446,673,3613,2107,78,411,75927,30107,2261,3649,996,"b","nan","act","nie","qnie","selact","not"
"13492","CMAELR3","52.34373","-2.05719","Worcester/Birmingham_halfway_point","WM","U",1400,1400,"x","xxxx","m","xx","x","xxxx","x","xx","x",17718,5045,446,673,3613,2107,78,411,75927,30107,2261,3649,996,"b","nan","act","nie","qnie","selact","not"
"16873","CMANCRIW","52.191614","-2.223358","Worcester","WM","G",1227,1227,"x","xxxx","m","xx","x","xxxx","x","xx","x",67886,20607,2182,3894,9984,5408,455,2078,285383,116037,12245,21339,4656,"b","nan","act","nie","qnie","selact","not"
"17229","CMANCRIW","52.191614","-2.223358","Worcester","WM","G",1227,1227,"x","xxxx","m","xx","x","xxxx","x","xx","x",67886,20607,2182,3894,9984,5408,455,2078,285383,116037,12245,21339,4656,"b","nan","act","nie","qnie","selact","not"
"17351","CMANCRIW","52.191614","-2.223358","Worcester","WM","G",1227,1227,"x","xxxx","m","xx","x","xxxx","x","xx","x",67886,20607,2182,3894,9984,5408,455,2078,285383,116037,12245,21339,4656,"b","nan","act","nie","qnie","selact","not"
"19258","CMANCRIW","52.191614","-2.223358","Worcester","WM","G",1227,1227,"x","xxxx","m","xx","x","xxxx","x","xx","x",67886,20607,2182,3894,9984,5408,455,2078,285383,116037,12245,21339,4656,"b","nan","act","nie","qnie","selact","not"
"21720","CMANCRIW","52.191614","-2.223358","Worcester","WM","G",1227,1227,"x","xxxx","m","xx","x","xxxx","x","xx","x",67886,20607,2182,3894,9984,5408,455,2078,285383,116037,12245,21339,4656,"b","nan","act","nie","qnie","selact","not"
"22253","CMANCRIW","52.191614","-2.223358","Worcester","WM","G",1227,1227,"x","xxxx","m","xx","x","xxxx","x","xx","x",67886,20607,2182,3894,9984,5408,455,2078,285383,116037,12245,21339,4656,"b","nan","act","nie","qnie","selact","not"
"24309","CMANCRIW","52.191614","-2.223358","Worcester","WM","G",1227,1227,"x","xxxx","m","xx","x","xxxx","x","xx","x",67886,20607,2182,3894,9984,5408,455,2078,285383,116037,12245,21339,4656,"b","nan","act","nie","qnie","selact","not"
"26753","CMAYENBI","51.279958","1.079407","Canterbury","K","G",1340,1340,"Dan_Michel","1270","m","70","x","xxxx","x","xx","x",48069,14217,1309,77,4924,3675,183,41,200070,84983,6330,386,2574,"b","nan","act","nie","qnie","selact","not"
"26760","CMAYENBI","51.279958","1.079407","Canterbury","K","G",1340,1340,"Dan_Michel","1270","m","70","x","xxxx","x","xx","x",48069,14217,1309,77,4924,3675,183,41,200070,84983,6330,386,2574,"b","nan","act","nie","qnie","selact","not"
"29947","CMAYENBI","51.279958","1.079407","Canterbury","K","G",1340,1340,"Dan_Michel","1270","m","70","x","xxxx","x","xx","x",48069,14217,1309,77,4924,3675,183,41,200070,84983,6330,386,2574,"b","nan","act","nie","qnie","selact","not"
"32771","CMAYENBI","51.279958","1.079407","Canterbury","K","G",1340,1340,"Dan_Michel","1270","m","70","x","xxxx","x","xx","x",48069,14217,1309,77,4924,3675,183,41,200070,84983,6330,386,2574,"p","van","nan","nie","qnie","selpse","not"
"32978","CMAYENBI","51.279958","1.079407","Canterbury","K","G",1340,1340,"Dan_Michel","1270","m","70","x","xxxx","x","xx","x",48069,14217,1309,77,4924,3675,183,41,200070,84983,6330,386,2574,"b","nan","act","nie","qnie","selact","not"
"33245","CMAYENBI","51.279958","1.079407","Canterbury","K","G",1340,1340,"Dan_Michel","1270","m","70","x","xxxx","x","xx","x",48069,14217,1309,77,4924,3675,183,41,200070,84983,6330,386,2574,"b","nan","act","pie","qnie","selact","not"
"34642","CMBENRUL","54.181727","-1.818237","x","N","U",1425,1425,"x","xxxx","m","xx","x","xxxx","x","xx","x",19104,5294,746,262,2535,1616,101,155,72604,28207,3598,1294,1282,"b","nan","act","nie","qnie","selact","not"
"38712","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"38760","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"38868","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"38923","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"39559","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"39913","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"40075","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"40201","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"40236","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"40464","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"41035","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"41083","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"41126","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"41698","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"41859","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"41868","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"41984","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"42265","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"42493","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"42584","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"p","van","nan","nie","qnie","selpse","not"
"42686","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"44390","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"44393","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"44880","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"45142","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"45147","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"45681","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"45847","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"46008","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"46041","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"46064","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"46227","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"46313","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"46378","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"46386","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"46548","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"46587","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"46640","BRUT","52.335182","-2.292722","Areley_Kings","WM","I",1215,1215,"Layamon","xxxx","m","xx","x","xxxx","x","xx","x",94831,31525,6668,342,10705,6794,1702,96,410482,174159,44693,2654,8004,"b","nan","act","nie","qnie","selact","not"
"46849","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"48102","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"48188","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"48238","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"48562","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"48595","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"48889","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"49427","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"49801","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"49823","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"49871","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"50321","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"50400","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"50649","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"50712","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"50893","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"51010","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"51057","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"51174","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"51662","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"51705","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"51768","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"51813","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"51874","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"51901","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"51922","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"51931","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"52055","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"52122","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"52362","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"52433","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"52599","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"53123","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"53174","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"53301","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"53374","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"53513","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"53717","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"53803","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"53959","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"b","nan","act","nie","qnie","selact","not"
"54236","CMCAPCHR","52.747931","0.3","King's_Lynn_Norfolk","EM","I",1464,1464,"John_Capgrave","1393","m","71","x","xxxx","x","xx","x",54286,16075,5406,751,6209,3297,1789,497,225523,84610,35634,4386,4114,"p","van","nan","nie","qnie","selpse","not"
"56108","CMCLOUD","52.402419","0.32959","North_Central?","EM","G",1372,1372,"x","xxxx","m","xx","x","xxxx","x","xx","x",16481,4708,261,0,2037,1349,43,0,66278,27204,1106,0,745,"p","van","nan","nie","qnie","selpse","not"
"56875","CMCTMELI","51.6","-0.1","London","EM","P",1390,1390,"Geoffry_Chaucer","1343","m","47","x","xxxx","x","xx","x",17685,5521,372,103,2245,1544,64,75,73707,33419,2194,459,848,"b","nan","act","nie","qnie","selact","not"
"58384","CMCTMELI","51.6","-0.1","London","EM","P",1390,1390,"Geoffry_Chaucer","1343","m","47","x","xxxx","x","xx","x",17685,5521,372,103,2245,1544,64,75,73707,33419,2194,459,848,"b","nan","act","nie","qnie","selact","not"
"58387","CMCTMELI","51.6","-0.1","London","EM","P",1390,1390,"Geoffry_Chaucer","1343","m","47","x","xxxx","x","xx","x",17685,5521,372,103,2245,1544,64,75,73707,33419,2194,459,848,"b","nan","act","nie","qnie","selact","not"
"59275","CMCTMELI","51.6","-0.1","London","EM","P",1390,1390,"Geoffry_Chaucer","1343","m","47","x","xxxx","x","xx","x",17685,5521,372,103,2245,1544,64,75,73707,33419,2194,459,848,"b","nan","act","nie","qnie","selact","not"
